EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany
1,41,Yes,Sales,1,College,Life Sciences,Medium,Very High,Single,5993,8,Bad,6
2,49,No,Research & Development,8,Below College,Life Sciences,High,Medium,Married,5130,1,Better,10
3,37,Yes,Research & Development,2,College,Other,Very High,High,Single,2090,6,Better,0
4,33,No,Research & Development,3,Master,Life Sciences,Very High,High,Married,2909,1,Better,8
5,27,No,Research & Development,2,Below College,Medical,Low,Medium,Married,3468,9,Better,2
6,32,No,Research & Development,2,College,Life Sciences,Very High,Very High,Single,3068,0,Good,7
7,59,No,Research & Development,3,Bachelor,Medical,High,Low,Married,2670,4,Good,1
8,30,No,Research & Development,24,Below College,Life Sciences,Very High,High,Divorced,2693,1,Better,1
9,38,No,Research & Development,23,Bachelor,Life Sciences,Very High,High,Single,9526,0,Better,9
10,36,No,Research & Development,27,Bachelor,Medical,High,High,Married,5237,6,Good,7
11,35,No,Research & Development,16,Bachelor,Medical,Low,Medium,Married,2426,0,Better,5
12,29,No,Research & Development,15,College,Life Sciences,Very High,High,Single,4193,0,Better,9
13,31,No,Research & Development,26,Below College,Life Sciences,Low,High,Divorced,2911,1,Good,5
14,34,No,Research & Development,19,College,Medical,Medium,Very High,Divorced,2661,0,Better,2
15,28,Yes,Research & Development,24,Bachelor,Life Sciences,High,High,Single,2028,5,Better,4
16,29,No,Research & Development,21,Master,Life Sciences,Medium,Low,Divorced,9980,1,Better,10
17,32,No,Research & Development,5,College,Life Sciences,Low,Medium,Divorced,3298,0,Good,6
18,22,No,Research & Development,16,College,Medical,Very High,Very High,Divorced,2935,1,Good,1
19,53,No,Sales,2,Master,Life Sciences,Low,Very High,Married,15427,2,Better,25
20,38,No,Research & Development,2,Bachelor,Life Sciences,Very High,Very High,Single,3944,5,Better,3
21,24,No,Research & Development,11,College,Other,Low,High,Divorced,4011,0,Good,4
22,36,Yes,Sales,9,Master,Life Sciences,High,Low,Single,3407,7,Better,5
23,34,No,Research & Development,7,Master,Life Sciences,Low,Medium,Single,11994,0,Better,12
24,21,No,Research & Development,15,College,Life Sciences,High,Very High,Single,1232,1,Better,0
25,34,Yes,Research & Development,6,Below College,Medical,Medium,Low,Single,2960,2,Better,4
26,53,No,Research & Development,5,Bachelor,Other,High,High,Divorced,19094,4,Good,14
27,32,Yes,Research & Development,16,Below College,Life Sciences,Medium,Low,Single,3919,1,Better,10
28,42,No,Sales,8,Master,Marketing,High,Medium,Married,6825,0,Better,9
29,44,No,Research & Development,7,Master,Medical,Low,Very High,Married,10248,3,Better,22
30,46,No,Sales,2,Master,Marketing,Medium,Low,Single,18947,3,Good,2
31,33,No,Research & Development,2,Bachelor,Medical,High,Very High,Single,2496,4,Better,1
32,44,No,Research & Development,10,Master,Other,Very High,Very High,Married,6465,2,Best,4
33,30,No,Research & Development,9,College,Medical,Very High,High,Single,2206,1,Better,10
34,39,Yes,Sales,5,Bachelor,Technical Degree,Very High,Very High,Married,2086,3,Best,1
35,24,Yes,Research & Development,1,Bachelor,Medical,Medium,Very High,Married,2293,2,Good,2
36,43,No,Research & Development,2,College,Medical,Very High,High,Divorced,2645,1,Good,5
37,50,Yes,Sales,3,College,Marketing,Low,High,Married,2683,1,Better,3
38,35,No,Sales,2,Bachelor,Marketing,Very High,Very High,Married,2014,1,Better,2
39,36,No,Research & Development,5,Master,Life Sciences,Medium,Low,Married,3419,9,Best,1
40,33,No,Sales,1,Bachelor,Life Sciences,High,Low,Married,5376,2,Better,5
41,35,No,Research & Development,4,College,Other,High,Very High,Divorced,1951,1,Better,1
